ACAMJPJ1XXX,549300EMSGWUIVBFC263,AllianceBernstein Japan Ltd.,,,,,,,,,,,,,
ACAOMXM1XXX,549300089R7PP6M16N81,ACTINVER CASA DE BOLSA S.A DE C.V. GRUPO FINANCIERO ACTINVER,,,,,,,,,,,,,
ACARIT22XXX,213800Y98OCZVJIM5C04,"CASSA RURALE ED ARTIGIANA DI CANTU' BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA"". LA SOCIETA' PUO' UTILIZZARE NEI PROPRI SEGNI DISTINTIVI L'ESPRESSIONE ""CREDITO COOPERATIVO DI SONDRIO"" PURCHE' ACCOMPAGNATA DALLA DENOM INAZIONE SOCIALE""",,,,,,,,,,,,,
ACASITM1XXX,815600EE98F7C0B52F93,"ANTHILIA CAPITAL PARTNERS SOCIETA' DI GESTIONE DEL RISPARMIO S.P .A."" IN FORMA ABBREVIATA ""ANTHILIA SGR S.P.A.""""",,,,,,,,,,,,,
ACAYUS41XXX,549300LP0CV2MNC1GV68,"Academy Bank, National Association",,,,,,,,,,,,,
ACBANO21XXX,549300G2EWXR3BRFKQ37,SANDNES SPAREBANK,,,,,,,,,,,,,
ACBBUS6LXXX,549300OQ7NQEKOCGWF54,American Business Bank,,,,,,,,,,,,,
ACBLINBBXXX,335800KG5M297IU4T791,ABHYUDAYA CO-OPERATIVE BANK LTD,,,,,,,,,,,,,
ACBNIT21XXX,8156008A9F78B050F286,LIVENZA TAGLIAMENTO ACQUE S.P.A.,,,,,,,,,,,,,
ACBSVN21XXX,2549004V2SJN1RVH9T31,"ACB Securities Co., Ltd.",,,,,,,,,,,,,
ACCAAU31XXX,213800U948ND5S746O10,ACORN CAPITAL LIMITED,,,,,,,,,,,,,
ACCCGHACXXX,254900IVQC8DB1ZWD629,Cal Bank Limited,,,,,,,,,,,,,
ACCHDEH1XXX,52990067OW41ZT0XO186,Aquila Capital Concepts GmbH,,,,,,,,,,,,,
ACCINL21XXX,7245007R5SG7NIQU4810,Accent Aigu B.V.,,,,,,,,,,,,,
ACCNNZ21XXX,VURY5GY8X0LH5X1N8S52,Accident Compensation Corporation,,,,,,,,,,,,,
ACCNNZ2BXXX,VURY5GY8X0LH5X1N8S52,Accident Compensation Corporation,,,,,,,,,,,,,
ACCTCA61XXX,254900G2I0OT2KACCM56,Acumen Capital Finance Partners Limited,,,,,,,,,,,,,
ACCUIE21XXX,635400M7OWD3YT3T9P27,FIRST CHOICE CREDIT UNION LIMITED,,,,,,,,,,,,,
ACCYZAJ1XXX,254900AFNFMYBL9EK384,Acumen Capital (Pty) Ltd,,,,,,,,,,,,,
ACDAES21XXX,9.598E+19,AXESOR CONOCER PARA DECIDIR SA,,,,,,,,,,,,,
ACDINL22XXX,7245000UZH70GO047N03,ARCADIS N.V.,,,,,,,,,,,,,
ACDLUS31XXX,2549008ML8G84N6HCJ75,Athena Capital Advisors LLC,,,,,,,,,,,,,
ACEEUS31XXX,2549000QX6RLQOZ2XC11,"Academy Securities, Inc.",,,,,,,,,,,,,
ACEFFRP1XXX,969500E3IE5WW0SF4R79,ACER FINANCE,,,,,,,,,,,,,
ACEGGB22XXX,213800SDA1ARDKUAED07,CHUBB UNDERWRITING AGENCIES LIMITED,,,,,,,,,,,,,
ACEIGB22XXX,984500F560E4T2D5B873,XACE LIMITED,,,,,,,,,,,,,
ACELGB21XXX,2138009SLAM48YVX9X83,S.P. ANGEL CORPORATE FINANCE LLP,,,,,,,,,,,,,
ACEMFRP1XXX,969500E2XRFBMG2WDI82,TIKEHAU ACE CAPITAL,,,,,,,,,,,,,
ACENUS41XXX,EM2U0UPRO83F878KCP52,"AMERICAN CENTURY INVESTMENT MANAGEMENT, INC.",,,,,,,,,,,,,
ACERGB21XXX,213800NWZWYYTIEXU364,ALCENTRA LIMITED,,,,,,,,,,,,,
ACFBMYK1XXX,2549002RX9QANY14OL51,AFFIN BANK BERHAD,,,,,,,,,,,,,
